---------------------------
Data Set: Mislabeled-Big
Vanilla Training: 8133 ham and 8584 spam.
Testing: 6000 ham and 6000 spam.
Pollution Training: 2400 ham and 2400 spam.
---------------------------


Unpolluted and Polluted Most Significant Features:
---------------------------
     Unpolluted                            Polluted                              
111  0.998192044998: remitted              0.997539639147: soiicitation          
112  0.998192044998: subject:logo          0.997566252028: resuiting             
113  0.998206456756: microcap              0.997617787189: professionai          
114  0.99824834566: 1618                   0.99766718507: aeor                   
115  0.99824834566: inciuding              0.99766718507: pubiisher              
116  0.998288322556: tongue                0.997691123653: zonedubai             
117  0.998313975272: maiiings              0.997714575927: pubiication           
118  0.998313975272: subject:oem           0.997737556561: affiiiated            
119  0.998338870432: rolex                 0.997760079642: compieted             
120  0.998398006408: dose                  0.997760079642: exampies              
121  0.998442367601: unclaimed             0.997760079642: imited                
122  0.998474059003: materia               0.997782158699: currentiy             
123  0.998484338161: pians                 0.997803806735: actua                 
124  0.998524106264: newsietter            0.997825036249: shlpplng              
125  0.99853372434: inciude                0.99786628734: profiie                
126  0.99853372434: piaced                 0.997906002792: aiready               
127  0.998552589257: mai                   0.997925311203: biank                 
128  0.998552589257: technoiogy            0.997962879131: miliion               
129  0.998561840844: resuits               0.997962879131: technoiogies          
130  0.998656315318: couid                 0.997999110716: specuiative           
131  0.998672174683: serial                0.998016747466: internationa          
132  0.998672174683: subject:money         0.998034076016: aiso                  
133  0.998679964799: potentia              0.998100464331: additiona             
134  0.998759988978: ooking                0.998147385755: beiieves              
135  0.998766785421: omit                  0.998177399757: invoive               
136  0.998780157224: oniine                0.998192044998: subject:logo          
137  0.99883086516: subject:cheap          0.99824834566: inciuding              
138  0.998877525567: ail                   0.998313975272: maiiings              
139  0.998888614473: pills                 0.998484338161: pians                 
140  0.998910147736: piease                0.998524106264: newsietter            
141  0.998910147736: shouid                0.99853372434: inciude                
142  0.998915401302: oniy                  0.99853372434: piaced                 
143  0.998974709501: andmanyother          0.998552589257: technoiogy            
144  0.999019394204: stationery            0.998561840844: resuits               
145  0.999036196188: photoshop             0.998656315318: couid                 
146  0.999068130048: cialis                0.998679964799: potentia              
147  0.999094385188: corel                 0.998910147736: shouid                
148  0.999235863474: wiil                  0.998915401302: oniy                  
149  0.999527757372: viagra                0.998974709501: andmanyother          
150  0.999584449164: php                   0.999235863474: wiil                  


Feature Comparison:
---------------------------
                    Unpolluted          Polluted            
osdn                0                   0.00920245398773    
xent                0                   0.00570342205323    
kaminski            0.000222893654961   0.201289356113      
subject:enron       0.000351864883885   0.147389611579      
scheduling          0.000372856077554   0.0723631613089     
hourahead           0.000437360287686   0.000437360287686   
subject:hourahead   0.000437360287686   0.000437360287686   
westdesk            0.00049729251851    0.00049729251851    
variances           0.000559075661573   0.0215414492127     
ena                 0.000627702608453   0.305381281377      
subject:hpl         0.000634786288616   0.0893281854261     
mmbtu               0.000693481276006   0.225129257205      
xls                 0.000751377525463   0.161799916013      
stinson             0.00084761725372    0.222680850771      
crenshaw            0.000877364008579   0.230933582907      
enronxgate          0.00102063960082    0.213209060156      
enrononline         0.00102529049897    0.136810054294      
ees                 0.00103472062543    0.26633373514       
counterparty        0.00105411103303    0.172134497465      
lavorato            0.00105907272299    0.213937617323      
eol                 0.00106408134311    0.164071766566      
gibner              0.001100513573      0.205938054331      
subject:nom         0.00120675784393    0.106854799825      
sitara              0.00124001102232    0.327977204005      
vkamins             0.00137656775772    0.124627841723      
calger              0.00141110065851    0.206584424348      
77002               0.00141110065851    0.0738186784628     
ect                 0.00144472147138    0.296013012982      
teco                0.00145678213014    0.0813075554617     
ferc                0.00146627565982    0.263723595296      
vasant              0.001515661839      0.140337863606      
skilling            0.0015795015795     0.135434196964      
subject:actuals     0.00169875424689    0.0563514703218     
dynegy              0.00172479877348    0.140687505186      
subject:crawler     0.00172479877348    0.00172479877348    
memo                0.00172479877348    0.31944501157       
transwestern        0.00185261424455    0.143810274035      
shankman            0.00186799501868    0.150626528649      
zimin               0.00191570881226    0.228632277627      
713                 0.00197872669541    0.156605468296      
ubs                 0.00201884253028    0.010438861563      
lokay               0.00205573321151    0.111083033617      
calpine             0.00205573321151    0.192958426609      
shanbhogue          0.00211366838891    0.147941737724      
whalley             0.00211366838891    0.241311485479      
ene                 0.00213371266003    0.155684615225      
wes                 0.00219619326501    0.25183153225       
aep                 0.00219619326501    0.166098922504      
belden              0.00221784130113    0.222641941423      
ebs                 0.00233281493002    0.329145571951      
schoppe             0.0024077046549     0.150575745509      
cotten              0.0024077046549     0.0321982049621     
stacey              0.00246036085293    0.298391622239      
fastow              0.00251537171604    0.132677712094      
fyi                 0.00260890259475    0.225682152537      
noms                0.00263311878291    0.311624600043      
shona               0.00263311878291    0.0655468605947     
txu                 0.00266429840142    0.0662734595831     
subject:mentions    0.00266429840142    0.0138607808318     
wellhead            0.00266429840142    0.229984504942      
tenaska             0.00266429840142    0.0459913326152     
krishnarao          0.0027289266222     0.190917187817      
tamarchenko         0.0027289266222     0.115835434529      
clynes              0.00279676817899    0.340704248679      
socal               0.00279676817899    0.284302216572      
egm                 0.00286806883365    0.0814553165426     
colwell             0.00286806883365    0.276869712759      
subject:october     0.00298210735586    0.0149079790907     
subject:ena         0.00298210735586    0.205039660689      
milnthorp           0.00302216252518    0.199026178331      
mirant              0.00302216252518    0.0401088487973     
delainey            0.00306330837304    0.372003004405      
subject:houston     0.00306330837304    0.175317402788      
steffes             0.00306330837304    0.157112156811      
3735                0.00310559006211    0.0288114336161     
nominations         0.00310559006211    0.227913038657      
subject:tenaska     0.00323974082073    0.00323974082073    
hplno               0.00328707085464    0.00328707085464    
subject:netco       0.00333580429948    0.00333580429948    
dbcaps              0.00349107835531    0.00349107835531    
enrj                0.00354609929078    0.00354609929078    
avila               0.00428979980934    0.00428979980934    
parsing             0.0046453226928     0.00469542337638    
downgraded          0.0049504950495     0.0049504950495     
ponton              0.0049504950495     0.0049504950495     
subject:cornhusker  0.00506186726659    0.00506186726659    
subject: ;          0.00543073754982    0.00547524189398    
tblloads            0.00585175552666    0.00585175552666    
hplnl               0.00585175552666    0.00585175552666    
bln                 0.00600801068091    0.00600801068091    
ousted              0.00600801068091    0.00585175552666    
subject:sept        0.00634696755994    0.00634696755994    
cleburne            0.00634696755994    0.00634696755994    
naveen              0.00653120464441    0.00653120464441    
ubsw                0.00653120464441    0.00653120464441    
tumbled             0.0067264573991     0.0067264573991     
attributed          0.0067264573991     0.0067264573991     
whiting             0.0067264573991     0.0067264573991     
sager               0.0067264573991     0.0067264573991     
koepke              0.00693374422188    0.00693374422188    
estoppel            0.00693374422188    0.00693374422188    
8722                0.00715421303657    0.00715421303657    
beaty               0.00715421303657    0.00715421303657    
embattled           0.00715421303657    0.00715421303657    
afx                 0.00738916256158    0.00738916256158    
gwyn                0.00738916256158    0.00738916256158    
subject:neon        0.00738916256158    0.00738916256158    
updatel             0.00764006791171    0.00764006791171    
ieor                0.00764006791171    0.00764006791171    
extel               0.00764006791171    0.00764006791171    
ubswarburg          0.00764006791171    0.00764006791171    
dorie               0.00764006791171    0.00764006791171    
overstated          0.0079086115993     0.0079086115993     
plummeted           0.00819672131148    0.00819672131148    
beleaguered         0.00819672131148    0.00819672131148    
afxnews             0.00819672131148    0.00819672131148    
afxpress            0.00819672131148    0.00819672131148    
subject:ets         0.00850661625709    0.00850661625709    
keohane             0.00850661625709    0.00850661625709    
engy                0.00850661625709    0.00850661625709    
barone              0.00850661625709    0.00850661625709    
interchg            0.00884086444008    0.00884086444008    
osprey              0.00884086444008    0.00764006791171    
oren                0.00884086444008    0.00884086444008    
coale               0.00884086444008    0.00884086444008    
5426                0.00884086444008    0.00884086444008    
lexi                0.00920245398773    0.00920245398773    
newsroom            0.00920245398773    0.00920245398773    
fap                 0.00920245398773    0.00920245398773    
alleging            0.00920245398773    0.00920245398773    
optic               0.00920245398773    0.0079086115993     
whitewing           0.00920245398773    0.00920245398773    
restated            0.00959488272921    0.00959488272921    
shepperd            0.00959488272921    0.00959488272921    
sharad              0.00959488272921    0.00959488272921    
collapsed           0.00959488272921    0.00920245398773    
plaintiffs          0.00959488272921    0.00959488272921    
winfrey             0.00959488272921    0.00884086444008    
pools               0.00959488272921    0.00920245398773    
subject:ubs         0.00959488272921    0.00959488272921    
netco               0.00973744624143    0.00983203407439    
thestreet           0.0100222717149     0.00959488272921    
alleges             0.0100222717149     0.00959488272921    
borrowed            0.0100222717149     0.00959488272921    
mln                 0.0100222717149     0.00959488272921    
wouid               0.996760259179      0.996760259179      
visuai              0.996806245564      0.996806245564      
beiiefs             0.996806245564      0.996806245564      
expiode             0.996806245564      0.996806245564      
noneedl             0.996806245564      0.996806245564      
deveiopment         0.996850944717      0.996850944717      
famiiiar            0.996850944717      0.996850944717      
sampies             0.996936691627      0.996936691627      
compiete            0.996977837475      0.996977837475      
doliars             0.996977837475      0.996977837475      
doilars             0.997017892644      0.997017892644      
vaiue               0.997017892644      0.997017892644      
fiiings             0.997056899935      0.997056899935      
historica           0.997056899935      0.997056899935      
squirrelmail        0.997094899935      0.997094899935      
symbo               0.997094899935      0.997094899935      
presentiy           0.997131931166      0.997131931166      
sharehoider         0.997131931166      0.997131931166      
gzo                 0.997168030208      0.997168030208      
pubiic              0.997237569061      0.997237569061      
wrongfuily          0.997237569061      0.997237569061      
professiona         0.997271073378      0.997271073378      
wel                 0.997271073378      0.997271073378      
worid               0.997303774715      0.997303774715      
goais               0.997303774715      0.997303774715      
abiiity             0.997303774715      0.997303774715      
nationa             0.997335701599      0.997335701599      
confiict            0.997397339503      0.997397339503      
wiii                0.997427101201      0.997427101201      
reiease             0.997456189938      0.997456189938      
toois               0.997512437811      0.997512437811      
wrongfu             0.997512437811      0.997512437811      
beiieve             0.997512437811      0.997512437811      
highiy              0.997512437811      0.997512437811      
peopie              0.997512437811      0.997512437811      
soiicitation        0.997539639147      0.997539639147      
resuiting           0.997566252028      0.997566252028      
professionai        0.997617787189      0.997617787189      
pubiisher           0.99766718507       0.99766718507       
aeor                0.99766718507       0.99766718507       
zonedubai           0.997691123653      0.997691123653      
pubiication         0.997714575927      0.997714575927      
affiiiated          0.997737556561      0.997737556561      
viewsonic           0.997737556561      0.903039067941      
exampies            0.997760079642      0.997760079642      
compieted           0.997760079642      0.997760079642      
computron           0.997760079642      0.895491002477      
4176                0.997760079642      0.895491002477      
imited              0.997760079642      0.997760079642      
currentiy           0.997782158699      0.997782158699      
actua               0.997803806735      0.997803806735      
sleeping            0.997803806735      0.940911883386      
shlpplng            0.997825036249      0.997825036249      
profiie             0.99786628734       0.99786628734       
ine                 0.99786628734       0.85424452371       
alcohol             0.99786628734       0.800057268341      
emai                0.997886331611      0.988204740094      
aiready             0.997906002792      0.997906002792      
biank               0.997925311203      0.997925311203      
subject:quality     0.997944266788      0.896395820875      
subject:charset     0.997962879131      0.795231191867      
subject: " >        0.997962879131      0.813594981377      
technoiogies        0.997962879131      0.997962879131      
pharmacy            0.997962879131      0.695771699222      
miliion             0.997962879131      0.997962879131      
specuiative         0.997999110716      0.997999110716      
internationa        0.998016747466      0.998016747466      
subject:viagra      0.998034076016      0.717075889456      
aiso                0.998034076016      0.998034076016      
penis               0.998051104374      0.73804711896       
miilion             0.998051104374      0.980339632167      
dysfunction         0.998084291188      0.880773682643      
additiona           0.998100464331      0.998100464331      
erections           0.998116366681      0.819293341906      
ars                 0.998132004981      0.98956402698       
beiieves            0.998147385755      0.998147385755      
invoive             0.998177399757      0.998177399757      
ciick               0.998192044998      0.928188495411      
subject:logo        0.998192044998      0.998192044998      
remitted            0.998192044998      0.729295706053      
microcap            0.998206456756      0.989976563411      
inciuding           0.99824834566       0.99824834566       
1618                0.99824834566       0.722540783735      
tongue              0.998288322556      0.861579782293      
maiiings            0.998313975272      0.998313975272      
subject:oem         0.998313975272      0.925952968116      
rolex               0.998338870432      0.940414036268      
dose                0.998398006408      0.783223613319      
unclaimed           0.998442367601      0.753611908069      
materia             0.998474059003      0.96437024966       
pians               0.998484338161      0.998484338161      
newsietter          0.998524106264      0.998524106264      
piaced              0.99853372434       0.99853372434       
inciude             0.99853372434       0.99853372434       
technoiogy          0.998552589257      0.998552589257      
mai                 0.998552589257      0.972628165162      
resuits             0.998561840844      0.998561840844      
couid               0.998656315318      0.998656315318      
serial              0.998672174683      0.789691293005      
subject:money       0.998672174683      0.793553036507      
potentia            0.998679964799      0.998679964799      
ooking              0.998759988978      0.993052493657      
omit                0.998766785421      0.976441760177      
oniine              0.998780157224      0.982121600853      
subject:cheap       0.99883086516       0.832014988668      
ail                 0.998877525567      0.973552448436      
pills               0.998888614473      0.697211472062      
shouid              0.998910147736      0.998910147736      
piease              0.998910147736      0.993889601595      
oniy                0.998915401302      0.998915401302      
andmanyother        0.998974709501      0.998974709501      
stationery          0.999019394204      0.98118137794       
photoshop           0.999036196188      0.810715809086      
cialis              0.999068130048      0.677290984654      
corel               0.999094385188      0.852401520324      
wiil                0.999235863474      0.999235863474      
viagra              0.999527757372      0.788876187475      
php                 0.999584449164      0.880830961801      
enron               6.24748365242e-05   0.20999276736       
