---------------------------
Data Set: Mislabeled-Big
Vanilla Training: 8133 ham and 8584 spam.
Testing: 6000 ham and 6000 spam.
Pollution Training: 2400 ham and 2400 spam.
---------------------------


Unpolluted and Polluted Most Significant Features:
---------------------------
     Unpolluted                              Polluted                                Cluster (Unpolluted) 1 (104, 0)         Cluster (Unpolluted) 2 (0, 0)           Cluster (Unpolluted) 3 (59, 0)          Cluster (Unpolluted) 4 (43, 43)         Cluster (Unpolluted) 5 (66, 0)          Cluster (Unpolluted) 6 (38, 38)         Cluster (Unpolluted) 7 (0, 0)           Cluster (Unpolluted) 8 (58, 58)         Cluster (Unpolluted) 9 (25, 0)          Cluster (Unpolluted) 10 (32, 32)        Cluster (Unpolluted) 11 (35, 0)         Cluster (Unpolluted) 12 (46, 46)        Cluster (Unpolluted) 13 (28, 0)         Cluster (Unpolluted) 14 (15, 15)        Cluster (Unpolluted) 15 (23, 0)         Cluster (Unpolluted) 16 (58, 58)        Cluster (Unpolluted) 17 (32, 0)         Cluster (Unpolluted) 18 (49, 49)        Cluster (Unpolluted) 19 (118, 0)        Cluster (Unpolluted) 20 (86, 86)        Cluster (Unpolluted) 21 (20, 0)         Cluster (Unpolluted) 22 (37, 37)        Cluster (Polluted) 1 (59, 0)            Cluster (Polluted) 2 (59, 59)           Cluster (Polluted) 3 (23, 0)            Cluster (Polluted) 4 (67, 67)           Cluster (Polluted) 5 (60, 0)            Cluster (Polluted) 6 (82, 82)           Cluster (Polluted) 7 (258, 0)           Cluster (Polluted) 8 (121, 121)         Cluster (Polluted) 9 (1611, 0)          Cluster (Polluted) 10 (1255, 1255)      Cluster (Polluted) 11 (3751, 0)         Cluster (Polluted) 12 (1825, 1825)      Cluster (Polluted) 13 (0, 0)            Cluster (Polluted) 14 (17, 17)          Cluster (Polluted) 15 (190, 0)          Cluster (Polluted) 16 (13, 13)          Cluster (Polluted) 17 (3, 0)            Cluster (Polluted) 18 (54, 54)          Cluster (Polluted) 19 (2026, 0)         Cluster (Polluted) 20 (364, 364)        Cluster (Polluted) 21 (991, 0)          Cluster (Polluted) 22 (168, 168)        
42   0.00205573321151: lokay                 0.00715421303657: subject:netco         0.225933290476: svcs                    N/A                                     0.2426517702: outside                   0.0238095238095: usgt                   0.0067264573991: nng                    0.26599149999: else                     N/A                                     0.0104895104895: midcon                 0.285678592012: wall                    0.0136778115502: mops                   0.00455005055612: chokshi               0.18640142505: obligations              0.143407316192: functions               0.0100222717149: bibi                   0.279552384222: subject:direct          0.0139234250672: spreadsheet            0.00819672131148: subject:enrononline   0.218158661682: requests                0.178313622856: cathy                   0.00428979980934: superty               0.131641552248: sweden                  0.00398582816652: enpower               0.00634696755994: subject:sept          0.279154337714: updates                 0.0266272189349: subject:imbalances     0.239549314998: wants                   0.0715762853168: folks                  0.00266429840142: wellhead              0.0024077046549: cotten                 0.0110024449878: presumably             0.034137959759: presentation            0.00219619326501: aep                   0.00211366838891: shanbhogue            0.0079086115993: receivables            N/A                                     0.214619473094: tie                     0.0368219195757: unify                  0.0038494439692: aimee                  0.383937898994: them                    0.00437317784257: actuals               0.0221133851208: 646                    0.00233281493002: ebs                   0.00233281493002: ebs                   0.0505617977528: medicaid               
43   0.00211366838891: shanbhogue            0.00715421303657: subject:tenaska       0.235391028022: power                   N/A                                     0.243137953465: spring                  0.0252646670683: announcing             0.00693374422188: briefing              0.266308051191: cargoes                 N/A                                     0.0108143480799: subject:2000           0.286495750802: review                  0.0136778115502: shalesh                0.00488060694767: hpl                   0.188666671: requesting                 0.144914580421: essentially             0.0100222717149: bpa                    0.283820621322: run                     0.0143864109041: nom                    0.00884086444008: intrastate            0.225820289098: plan                    0.179314085981: subject                 0.00428979980934: waha                  0.132171040907: dan                     0.00405770964833: mgmt                  0.00646250632508: 853                   0.279631888275: fine                    0.0289386009448: jeff                   0.248459268358: fall                    0.0723392138553: preliminary            0.0027289266222: krishnarao             0.0024077046549: schoppe                0.0110024449878: weaker                 0.0344337944929: mike                   0.00219619326501: wes                   0.00211366838891: whalley               0.0079086115993: walters                N/A                                     0.216530744508: date                    0.0373312845198: template               0.0038494439692: villarreal             0.386376752872: message                 0.00437317784257: patti                 0.0222317346254: moody                  0.0024077046549: schoppe                0.0024077046549: cotten                 0.0505617977528: rebuttal               
44   0.00211366838891: whalley               0.00738916256158: 8659                  0.239236039932: putting                 N/A                                     0.244802657129: stuck                   0.0257428196086: houston                0.00717507423523: subject:meter         0.266308051191: spillover               N/A                                     0.0110024449878: subject:memo           0.288429469422: 1981                    0.0142276269743: subject:eol            0.00570342205323: subject:issues        0.193248802027: options                 0.150874234383: associate               0.0104895104895: csikos                 0.284367108413: added                   0.0145631067961: subject:turbine        0.00920245398773: needles               0.234140495057: jamie                   0.179890131746: paul                    0.00437317784257: actuals               0.137266771946: cornfield               0.00421995723533: daren                 0.00667747487876: portland              0.284367108413: added                   0.0306060605638: doc                    0.249929605987: instruments             0.0737383667615: arranged               0.0027289266222: tamarchenko            0.00246036085293: stacey                0.0112296723742: coordinate             0.0350963006708: uncertain              0.00221784130113: belden                0.00213371266003: ene                   0.00819672131148: dyn                   N/A                                     0.216976505907: venues                  0.0390997363148: donna                  0.00391644908616: frevert               0.391101365348: america                 0.00455005055612: chokshi               0.0229217272832: bob                    0.00246036085293: stacey                0.0024077046549: schoppe                0.0505617977528: subject:announcing     
45   0.00213371266003: ene                   0.00738916256158: 8722                  0.242649698668: competitor              N/A                                     0.245738588704: avoiding                0.0263739682992: beth                   0.0079086115993: bcc                    0.266344344247: week                    N/A                                     0.0114489865719: presto                 0.290046771004: print                   0.0145631067961: subject:brown          0.00585175552666: cernosek              0.193671309889: thanks                  0.151098276474: subject:short           0.0110024449878: woodlands              0.287599458761: hoping                  0.0155709342561: subject:buyback        0.00959488272921: pools                 0.23446110179: eliminate                0.180027022641: liked                   0.00437317784257: azurix                0.137545315982: invitations             0.00428979980934: killen                0.0067264573991: subject:revision       0.29647784085: trouble                  0.0321783567285: draft                  0.251358060492: glad                    0.0747648114216: subject:desk           0.00279676817899: clynes                0.00251537171604: fastow                0.011338269031: curves                  0.035915166746: volumes                 0.00233281493002: ebs                   0.00219619326501: aep                   0.00819672131148: underwriting          N/A                                     0.218094016311: file                    0.03942614058: ken                      0.00421995723533: daren                 0.395546132264: unusual                 0.00455005055612: leppard               0.023205154828: neal                    0.00251537171604: fastow                0.00246036085293: stacey                0.0505617977528: subject:continuing     
46   0.00219619326501: aep                   0.00738916256158: killen                0.246972575253: morning                 N/A                                     0.246407906761: subject:status          0.0266272189349: subject:accounting     0.0079086115993: netting                0.266621467535: senior                  N/A                                     0.0121951219512: detmering              0.292159141109: speak                   0.0145631067961: subject:proposed       0.00585175552666: cpuc                  0.197609059325: investigate             0.153153101044: guys                    0.0112296723742: coordinate             0.288429469422: issuers                 0.0155709342561: subject:curve          0.00991634519315: forwarded             0.239549314998: wants                   0.183861975866: accommodate             0.00445986124876: hplo                  0.140063423283: earlier                 0.00428979980934: superty               0.00715421303657: cornhusker            0.298737961007: would                   0.0344337944929: mike                   0.253045366125: team                    0.0749846977286: discuss                0.00279676817899: socal                 0.00260890259475: fyi                   0.0114489865719: presto                 0.0361793081556: kathryn                0.0024077046549: cotten                 0.00219619326501: wes                   0.00835041716351: origination           N/A                                     0.22098834236: rated                    0.0405950215834: rick                   0.00437317784257: azurix                0.397162982611: enhancements            0.0048439181916: attaching              0.023540295975: carol                   0.00260890259475: fyi                   0.00251537171604: fastow                0.0513075878879: cynthia                
47   0.00219619326501: wes                   0.00764006791171: actuals               0.247525164035: working                 N/A                                     0.248459268358: fall                    0.0289386009448: jeff                   0.00850661625709: 6525                  0.266693123437: put                     N/A                                     0.0124191662628: subject:nomination     0.293858170753: deals                   0.0145631067961: subject:steve          0.00585175552666: herod                 0.199930597067: matching                0.157387569949: perform                 0.0121951219512: seyfried               0.289421726181: conduct                 0.0171394156976: subject:revised        0.0100222717149: etop                   0.241689646451: san                     0.184166560553: likely                  0.00445986124876: subject:var           0.140229750414: findings                0.00445986124876: clem                  0.00764006791171: heidi                 0.300786324655: rose                    0.0348837209302: subject:content        0.253144273783: tables                  0.0760076712337: richard                0.00286806883365: egm                   0.00263311878291: shona                 0.0115681233933: movements              0.0373690572359: tap                    0.0024077046549: schoppe                0.00221784130113: belden                0.00850661625709: 6100                  N/A                                     0.226023009098: between                 0.0407338271479: piper                  0.00474183350896: sempra                0.397916281265: contact                 0.0048439181916: dyson                  0.0237205247095: americas               0.00263311878291: noms                  0.00260890259475: fyi                   0.0527199095926: deadline               
48   0.00221784130113: belden                0.00764006791171: embattled             0.252067524479: executive               N/A                                     0.251104143814: doorstep                0.0290402446348: nomination             0.00850661625709: subject:ees           0.26768776293: subject:year             N/A                                     0.012893982808: nommensen               0.296511673104: management              0.014813357406: vince                   0.00600801068091: 2503                  0.200489700426: brandon                 0.16278454606: metals                   0.0122889960496: hedging                0.293939533318: equivalent              0.0180722891566: angelides              0.0100222717149: socalehr               0.242649698668: predict                 0.185119300944: evidence                0.00455005055612: chokshi               0.140990900448: buyout                  0.00445986124876: epmi                  0.00764006791171: subject:nominations   0.302871845959: latter                  0.0348837209302: subject:extension      0.258545974342: unfortunate             0.0799066227702: bid                    0.00306330837304: subject:houston       0.00266429840142: subject:mentions      0.0115681233933: tariffs                0.0377785294494: steve                  0.00246036085293: stacey                0.00233281493002: ebs                   0.00850661625709: hgm                   N/A                                     0.236548374894: dropped                 0.0412738686167: griffith               0.0048439181916: lannou                 0.399500875577: available               0.0048439181916: subject:changes        0.0240127124313: detected               0.00266429840142: txu                   0.00263311878291: shona                 0.0527632430197: yesterday              
49   0.00233281493002: ebs                   0.0079086115993: lawyers                0.256169389995: activity                N/A                                     0.253144273783: mexican                 0.0302013422819: subject:operational    0.00920245398773: subject:doorstep      0.273190798804: sent                    N/A                                     0.012893982808: subject:posting         0.297885159196: statistic               0.0167286245353: assistants             0.00600801068091: gtc                   0.205314083734: floor                   0.16433993689: 813                      0.0134137554244: swap                   0.296511673104: management              0.0180722891566: llodra                 0.0100222717149: socaltop               0.243623008394: 213                     0.186598447528: changing                0.00488060694767: hpl                   0.142421406817: london                  0.00455005055612: chokshi               0.0079086115993: correlations           0.304367070524: updated                 0.0348837209302: subject:mixer          0.262534143793: breakdown               0.0815200406964: sachs                  0.00310559006211: nominations           0.00266429840142: txu                   0.0121951219512: footnote               0.0385113969443: bloomberg              0.00251537171604: fastow                0.0024077046549: cotten                 0.00850661625709: legislative           N/A                                     0.239071620838: job                     0.0412738686167: volunteer              0.0048439181916: utexas                 0.40123048903: subject:for              0.00488060694767: hpl                   0.0243105334221: meter                  0.00266429840142: wellhead              0.00266429840142: tenaska               0.0531714036273: leslie                 
50   0.0024077046549: cotten                 0.0079086115993: tumbled                0.261132438631: possibly                N/A                                     0.253411352111: lines                   0.0306060605638: doc                    0.00959488272921: eprm                  0.273988262737: debt                    N/A                                     0.0129159708907: sally                  0.298737961007: would                   0.0167286245353: hearings               0.00634696755994: modelling             0.205483241931: firm                    0.164795236633: responsible             0.0136778115502: enroncredit            0.298737961007: would                   0.0182038608292: ebl                    0.0104895104895: rotation               0.247129684571: subject:activity        0.186766243011: energy                  0.00506186726659: eog                   0.143337041745: progress                0.0046439628483: deffner                0.00850661625709: subject:ets           0.30727625729: decision                 0.0350963006708: migration              0.26432873189: following                0.0815200406964: subject:announcement   0.00310559006211: subject:presentation  0.00266429840142: wellhead              0.0121951219512: outputs                0.0398115169028: pat                    0.00260890259475: fyi                   0.0024077046549: schoppe                0.00884086444008: marcello              N/A                                     0.244802657129: mistakes                0.0412795548012: jenny                  0.00488060694767: hpl                   0.405743525231: making                  0.0049504950495: solmonson              0.024443322008: karen                   0.0027289266222: krishnarao             0.00266429840142: txu                   0.0534727714534: subject:meeting        
51   0.0024077046549: schoppe                0.00819672131148: 207                   0.261211020466: owe                     N/A                                     0.254042278911: regarding               0.03311381643: pickering                0.00973744624143: netco                 0.280004696352: association             N/A                                     0.0129686436341: webb                   0.301890828203: either                  0.0167286245353: subject:bag            0.00634696755994: recruiter             0.209999751961: notices                 0.16769832877: proposed                 0.0136778115502: espeak                 0.304367070524: updated                 0.0196506550218: 1789                   0.0104895104895: topock                 0.250823460765: point                   0.187185697819: rival                   0.00506186726659: subject:february      0.14363834933: darrell                  0.00488060694767: hpl                   0.00884086444008: 5426                  0.308166835895: wanted                  0.0398115169028: pat                    0.264547937662: 2002                    0.0822307457991: priorities             0.00314905528341: pinnamaneni           0.0027289266222: krishnarao             0.0122889960496: hedging                0.0402218605902: lisa                   0.00263311878291: noms                  0.00246036085293: stacey                0.00920245398773: optic                 N/A                                     0.245135902612: specifically            0.0412820459907: swing                  0.00517836593786: reinhardt             0.406660532987: soon                    0.00506186726659: perlman               0.0252868554028: vance                  0.0027289266222: tamarchenko            0.00266429840142: wellhead              0.0547709452155: simmons                
52   0.00246036085293: stacey                0.00819672131148: aep                   0.263493126824: class                   N/A                                     0.25659398143: failed                   0.034137959759: presentation            0.0100222717149: 33396                  0.286943771516: expire                  N/A                                     0.0133030662771: jay                    0.312264224554: 830                     0.0167286245353: subject:mike           0.00634696755994: subject:wharton       0.211129559839: whether                 0.17026769127: final                    0.0139234250672: spreadsheet            0.305398148423: subject:deals           0.0201496522664: subject:gas            0.0108143480799: subject:2000           0.251358060492: glad                    0.188529206238: brief                   0.00517836593786: baumbach              0.146015892116: contract                0.0049504950495: rahil                  0.00920245398773: subject:associate     0.309918589613: ran                     0.0425974971582: megan                  0.267202035152: know                    0.0836117513835: incorporate            0.00314905528341: swaps                 0.0027289266222: tamarchenko            0.012893982808: hopkins                 0.0405950215834: rick                   0.00263311878291: shona                 0.00251537171604: fastow                0.00920245398773: originators           N/A                                     0.252067524479: executive               0.0418452228113: faculty                0.00530035335689: hickerson             0.407435083896: recently                0.00517836593786: reinhardt             0.0256698225399: dave                   0.00279676817899: clynes                0.0027289266222: tamarchenko            0.055568474712: subject:visit           
53   0.00251537171604: fastow                0.00819672131148: bln                   0.264547937662: 2002                    N/A                                     0.257698555595: status                  0.0344337944929: mike                   0.0100222717149: rgds                   0.306769636458: approval                N/A                                     0.0136778115502: mtbe                   0.318456888948: messaging               0.0180722891566: ganjoo                 0.00646250632508: 853                   0.211815773382: think                   0.172698929952: pamela                  0.0145631067961: choate                 0.307451428102: reflect                 0.0208658327705: kevin                  0.0121951219512: puerco                 0.252067524479: executive               0.190937324111: pool                    0.00542822677925: eastrans              0.148776658191: pam                     0.00506186726659: hplc                  0.00991634519315: forwarded             0.312981412076: situation               0.0432905002802: summary                0.267855494338: although                0.0852189047371: smith                  0.00319375443577: wynne                 0.00279676817899: clynes                0.012893982808: univ                    0.0412738686167: notches                0.00266429840142: subject:mentions      0.00260890259475: fyi                   0.00920245398773: subject:associate     N/A                                     0.252320670022: lead                    0.0422832824171: laura                  0.00542822677925: kindall               0.412780200321: from                    0.00530035335689: hernandez             0.0257428196086: houston                0.00279676817899: socal                 0.00279676817899: socal                 0.0571636572168: posted                 
54   0.00260890259475: fyi                   0.00819672131148: plummeted             0.264757477479: subject:report          N/A                                     0.259506045523: normally                0.0348837209302: 34710                  0.0100222717149: subject:metals         0.312981412076: situation               N/A                                     0.0142276269743: subject:eol            0.322778903295: webmaster               0.0180722891566: ravi                   0.00660885721803: derivatives           0.213692862022: consolidate             0.17293050179: deal                     0.0147600198085: farmer                 0.308166835895: wanted                  0.0215311004785: enovate                0.012893982808: pkgs                    0.253045366125: team                    0.191302853524: ahead                   0.00556242274413: subject:calpine       0.150874234383: associate               0.00506186726659: kristen               0.0100222717149: 384258                 0.322852903742: across                  0.0445004823051: rice                   0.273190798804: sent                    0.0870686010885: california             0.00333580429948: luce                  0.00279676817899: socal                 0.0129159708907: sally                  0.0412738686167: russ                   0.00266429840142: tenaska               0.00263311878291: noms                  0.00959488272921: academics             N/A                                     0.253862917822: subject:hiring          0.0424239782705: pep                    0.00570342205323: huang                 0.41355099188: given                    0.00530035335689: wanda                 0.0259328666603: 2001                   0.00286806883365: colwell               0.00286806883365: colwell               0.0582130956267: spoke                  
55   0.00263311878291: noms                  0.00819672131148: subject:feedback      0.267202035152: know                    N/A                                     0.262279338426: accepted                0.0348837209302: subject:participants   0.0104895104895: isda                   0.318450854797: 800                     N/A                                     0.0143864109041: nom                    0.323342503956: inter                   0.0180722891566: subject:dash           0.00715421303657: intra                 0.216576815528: comply                  0.173003480094: planning                0.014813357406: vince                   0.309477078812: description             0.0215311004785: subject:affairs        0.012893982808: subject:mgmt            0.253144273783: tables                  0.193671309889: thanks                  0.00570342205323: redeliveries          0.152113232958: let                     0.00517836593786: baumbach              0.0100222717149: jaesoo                 0.327125343489: received                0.0446792846133: conference             0.273988262737: debt                    0.0874576281731: subject:workshop       0.00333580429948: sherriff              0.00286806883365: colwell               0.0130358415425: beck                   0.0412795548012: jenny                  0.00266429840142: txu                   0.00263311878291: shona                 0.00959488272921: balancing             N/A                                     0.254042278911: regarding               0.0427798783261: denny                  0.00585175552666: herod                 0.417181896426: opportunity             0.00542822677925: lohman                0.026012040583: greg                    0.00286806883365: egm                   0.00286806883365: egm                   0.0583118791891: evaluations            
56   0.00263311878291: shona                 0.00850661625709: tammy                 0.267358270898: coming                  N/A                                     0.263557988562: purchased               0.035915166746: volumes                 0.0108143480799: subject:2000           0.325113283231: work                    N/A                                     0.0145631067961: subject:turbine        0.324924881574: files                   0.0180722891566: subject:entouch        0.00717507423523: subject:meter         0.217094253035: notified                0.174886104439: victor                  0.0149534610126: redmond                0.309990312977: ensure                  0.0238095238095: 3740                   0.012893982808: subject:posting         0.253862917822: 506                     0.196536946116: trip                    0.00570342205323: subject:issues        0.152360930334: negotiating             0.00517836593786: reinhardt             0.0100222717149: subject:metals         0.327585975285: reports                 0.0447575333284: gary                   0.275676787796: considering             0.0880153568736: 253                    0.00341463649898: louise                0.00286806883365: egm                   0.0133030662771: jay                    0.0412820459907: swing                  0.00266429840142: wellhead              0.00266429840142: tenaska               0.00959488272921: collapsed             N/A                                     0.257725710983: still                   0.0432813318298: scott                  0.00585175552666: mathematics           0.418310695351: find                    0.00570342205323: huang                 0.0260489248841: edu                    0.00298210735586: subject:ena           0.00298210735586: subject:ena           0.0596070557917: enjoyed                
57   0.00266429840142: subject:mentions      0.00884086444008: 8562                  0.26768776293: subject:year             N/A                                     0.26432873189: following                0.0359585922153: reliant                0.0110024449878: presumably             0.325804629336: oppose                  N/A                                     0.014813357406: vince                   0.325113283231: work                    0.0182038608292: ebl                    0.00738916256158: mmbtus                0.218094016311: file                    0.175743634664: positions               0.0153084613878: hou                    0.310466795671: avg                     0.0238095238095: edits                  0.0129159708907: sally                  0.254042278911: regarding               0.201346381153: necessarily             0.00585175552666: subject:eastrans      0.152496492449: wouldn                  0.00556242274413: subject:calpine       0.0108143480799: subject:2000           0.334080410834: did                     0.044908471943: subject:april           0.277822278283: vehicle                 0.0889693350015: wrote                  0.00354609929078: tariff                0.00298210735586: subject:ena           0.0134137554244: kristin                0.0412834314611: rita                   0.0027289266222: krishnarao             0.00266429840142: txu                   0.00959488272921: hull                  N/A                                     0.26432873189: following                0.043349536315: lee                     0.00600801068091: weissman              0.418378431767: has                     0.00570342205323: lotus                 0.0263644365267: revised                0.00302216252518: milnthorp             0.00298210735586: subject:october       0.0597899508666: thanksgiving           
58   0.00266429840142: tenaska               0.00884086444008: afx                   0.274064164222: mean                    N/A                                     0.264547937662: 2002                    0.0359585922153: subject:california     0.0110024449878: subject:memo           0.333700893236: expertise               N/A                                     0.0149534610126: redmond                0.325195554613: 277                     0.0182038608292: subject:resume         0.00764006791171: 3393                  0.218158661682: requests                0.179545062028: subject: :              0.0154634537162: kitchen                0.311365816507: copyright               0.0238095238095: fcv                    0.0130358415425: beck                   0.257725710983: still                   0.203785863576: gathering               0.00600801068091: 2503                  0.15317710487: analysis                 0.00556242274413: vkaminski             0.0110024449878: 35383                  0.336474882501: weekend                 0.0468540666459: afternoon              0.27824601119: sending                  0.0901677321198: miller                 0.00360288230584: mrha                  0.00302216252518: milnthorp             0.0134137554244: swap                   0.0418452228113: faculty                0.0027289266222: tamarchenko            0.00266429840142: wellhead              0.00991634519315: forwarded             N/A                                     0.264547937662: 2002                    0.0434534177515: amy                    0.00617283950617: amitava               0.419886762928: director                0.00585175552666: herod                 0.0270108046815: subject:feedback       0.00302216252518: mirant                0.00302216252518: milnthorp             0.0636983196868: indirect               
59   0.00266429840142: txu                   0.00884086444008: beaty                 0.277702489278: unable                  N/A                                     0.264757477479: subject:report          0.0364471896602: duke                   0.0115681233933: movements              0.336750652816: subject: ,              N/A                                     0.0154634537162: kitchen                0.325550151452: everyone                0.0195644652136: tammie                 0.00764006791171: mcloughlin            0.218191483685: operational             0.179791529203: trying                  0.0155709342561: compiling              0.325563699606: done                    0.0238095238095: subject:projects       0.0133030662771: jay                    0.259160046367: maintain                0.20510139646: lindsay                  0.00634696755994: chonawee              0.156202042556: call                    0.00570342205323: floors                0.011338269031: curves                  0.338758130665: running                 0.0469715879744: subject:project        0.279371420606: purchasing              0.0913175005347: senate                 0.00366151342555: mcconnell             0.00302216252518: mirant                0.0136778115502: dev                    0.0422832824171: laura                  0.00279676817899: clynes                0.0027289266222: krishnarao             0.0100222717149: mln                    N/A                                     0.265881120298: anyone                  0.0443999566241: critics                0.00634696755994: murray                0.420705334456: who                     0.00600801068091: dfarmer               0.0272652930949: intervention           0.00306330837304: delainey              0.00302216252518: mirant                0.0652173913043: 8005                   
60   0.00266429840142: wellhead              0.00884086444008: floors                0.277725480424: doing                   N/A                                     0.266308051191: subject:ancillary       0.039870289677: subject:training        0.0115681233933: subject:cleburne       0.338429214266: apologize               N/A                                     0.0155709342561: aram                   0.327585975285: reports                 0.0201496522664: subject:gas            0.00850661625709: 6525                  0.219319753594: expense                 0.185712466381: 1999                    0.0155709342561: pdx                    0.327627943753: risk                    0.0252646670683: revisions              0.0136778115502: 1140                   0.261132438631: possibly                0.207215504279: subject: :              0.00646250632508: 853                   0.156609960862: hour                    0.00570342205323: huang                 0.012893982808: clickpaper              0.33886602319: subject: #               0.0500512025852: allocations            0.285872605786: preference              0.0916263781939: concerns               0.00372208436725: adjustment            0.00306330837304: delainey              0.0136778115502: grim                   0.0425974971582: megan                  0.00279676817899: socal                 0.0027289266222: tamarchenko            0.0100222717149: spikes                 N/A                                     0.266344344247: week                    0.0446564789466: saturday               0.00634696755994: theresa               0.42479492177: traveling                0.00600801068091: weissman              0.0276477525307: fallon                 0.00306330837304: steffes               0.00306330837304: delainey              0.0652173913043: aiding                 
61   0.0027289266222: krishnarao             0.00884086444008: jenny                 0.288429469422: tradition               N/A                                     0.266344344247: week                    0.0405950215834: rick                   0.0121951219512: sokolov                0.341392003735: registering             N/A                                     0.0155709342561: ssmb                   0.329301937319: problems                0.0208658327705: kevin                  0.00850661625709: hgm                   0.224506685279: counter                 0.19073901555: played                   0.0167286245353: subject:employee       0.331741993924: reduce                  0.0252646670683: schneider              0.0136778115502: espeak                 0.2628500362: challenged                0.208422718928: faces                   0.00653120464441: enw                   0.157595997204: desk                    0.00585175552666: cernosek              0.0129159708907: sally                  0.341392003735: registering             0.0505336197449: blackberry             0.293858170753: deals                   0.0918851457472: awarded                0.00372208436725: masson                0.00306330837304: steffes               0.0136778115502: hudson                 0.0427798783261: nicholas               0.00286806883365: colwell               0.00279676817899: clynes                0.0104895104895: fran                   N/A                                     0.266693123437: put                     0.0446792846133: conference             0.00646250632508: 853                   0.428076444892: these                   0.00634696755994: chonawee              0.0276477525307: questioned             0.00306330837304: subject:houston       0.00306330837304: steffes               0.0652173913043: committment            
62   0.0027289266222: tamarchenko            0.009068717966: xls                     0.291560536742: leave                   N/A                                     0.266992680954: clay                    0.0412844036697: 0011                   0.012893982808: subject:eprm            0.344738908756: hound                   N/A                                     0.0157573346036: duran                  0.329392024115: thought                 0.0211143563022: schedule               0.00884086444008: 5426                  0.224576672788: markets                 0.190809944389: agree                   0.0167286245353: yanowski               0.338429214266: apologize               0.0257428196086: houston                0.0139234250672: spreadsheet            0.264547937662: 2002                    0.208422718928: practical               0.00653120464441: lamphier              0.158762994276: subject:case            0.00585175552666: herod                 0.0136778115502: ecth                   0.341686498387: town                    0.0505617977528: mixer                  0.295962488331: during                  0.0919380434691: 2000                   0.0038494439692: villarreal             0.00310559006211: 3735                  0.0136778115502: livermore              0.0432813318298: scott                  0.00286806883365: egm                   0.00279676817899: socal                 0.0104895104895: jana                   N/A                                     0.267202035152: know                    0.0447566328216: subject:date           0.00653120464441: lamphier              0.429925700106: that                    0.00634696755994: modelling             0.0283154662498: 4473                   0.00310559006211: nominations           0.00306330837304: subject:houston       0.0652173913043: jed                    
63   0.00279676817899: clynes                0.00920245398773: beleaguered           0.295812281693: hope                    N/A                                     0.27386135758: mailed                   0.0412844036697: sommers                0.0129159708907: sally                  0.344738908756: subject:anonymous       N/A                                     0.0167286245353: assistants             0.332052628629: slowly                  0.0212059988671: shirley                0.00884086444008: unaccounted           0.230369438249: audit                   0.190863710363: event                   0.0173936834338: pge                    0.342766728025: back                    0.025821075663: subject:london          0.0143864109041: nom                    0.265881120298: anyone                  0.208597930324: lindsey                 0.00653120464441: orig                  0.160375166831: couple                  0.00585175552666: jafry                 0.0139234250672: spreadsheet            0.345567016743: please                  0.0527199095926: deadline               0.304032576463: gained                  0.0926980260388: employees              0.00391644908616: 6353                  0.00310559006211: nominations           0.0136778115502: welch                  0.0432905002802: summary                0.00298210735586: subject:ena           0.00286806883365: colwell               0.0104895104895: verbally               N/A                                     0.267358270898: coming                  0.0447575333284: gary                   0.00667747487876: portland              0.431292794626: this                    0.00646250632508: 853                   0.0289386009448: jeff                   0.00310559006211: subject:presentation  0.00310559006211: 3735                  0.0652173913043: signers                
64   0.00279676817899: socal                 0.00920245398773: extel                 0.297014815622: headline                N/A                                     0.283820621322: run                     0.0412844036697: subject:expected       0.0133030662771: jay                    0.344738908756: westbound               N/A                                     0.0167286245353: longview               0.333505017704: integration             0.0232598022327: krishna                0.00920245398773: caiso                 0.234140495057: jamie                   0.193410567928: model                   0.0180722891566: ravi                   0.342900549917: another                 0.0263644365267: revised                0.014813357406: vince                   0.26599149999: else                     0.21023908951: walker                   0.00667747487876: portland              0.162120696803: sought                  0.00585175552666: mathematics           0.0145631067961: 514353                 0.346163988034: staff                   0.0549503567479: tomorrow               0.30877491577: subject:still            0.0933560929803: capacity               0.00391644908616: fernley               0.00314905528341: dowjones              0.0139234250672: spreadsheet            0.043349536315: lee                     0.00298210735586: subject:october       0.00286806883365: egm                   0.0108143480799: subject:2000           N/A                                     0.270862387747: washington              0.0458630983525: bradford               0.00693374422188: papayoti              0.432217199073: light                   0.00653120464441: canceled              0.0289486940991: paso                   0.00314905528341: 5290                  0.00310559006211: nominations           0.0652173913043: subject:boston         
